,Base_Demand_MW,No_Solar_MW,Low_Solar_MW,Medium_Solar_MW,High_Solar_MW,Net_Load_No_Solar_MW,Net_Load_Low_Solar_MW,Net_Load_Medium_Solar_MW,Net_Load_High_Solar_MW
2023-01-01 00:00:00,763.8336501009555,0.0,0.0,0.0,0.0,763.8336501009555,763.8336501009555,763.8336501009555,763.8336501009555
2023-01-01 01:00:00,767.6452697070487,0.0,0.0,0.0,0.0,767.6452697070487,767.6452697070487,767.6452697070487,767.6452697070487
2023-01-01 02:00:00,757.9968396042184,0.0,0.0,0.0,0.0,757.9968396042184,757.9968396042184,757.9968396042184,757.9968396042184
2023-01-01 03:00:00,781.0501591934409,0.0,0.0,0.0,0.0,781.0501591934409,781.0501591934409,781.0501591934409,781.0501591934409
2023-01-01 04:00:00,851.5735221594736,0.0,0.0,0.0,0.0,851.5735221594736,851.5735221594736,851.5735221594736,851.5735221594736
2023-01-01 05:00:00,823.2314663539331,0.0,0.0,0.0,0.0,823.2314663539331,823.2314663539331,823.2314663539331,823.2314663539331
2023-01-01 06:00:00,858.3385491549528,0.0,0.0,0.0,0.0,858.3385491549528,858.3385491549528,858.3385491549528,858.3385491549528
2023-01-01 07:00:00,915.7763704848865,0.0,9.586708604541975e-05,0.00028760125813625923,0.0005752025162725185,915.7763704848865,915.7762746178004,915.7760828836283,915.7757952823702
2023-01-01 08:00:00,928.4079957596647,0.0,0.00018520098860469456,0.0005556029658140836,0.0011112059316281673,928.4079957596647,928.407810558676,928.4074401566988,928.4068845537331
2023-01-01 09:00:00,888.2515080567797,0.0,0.0002619137498496641,0.0007857412495489923,0.0015714824990979846,888.2515080567797,888.2512461430299,888.2507223155302,888.2499365742806
2023-01-01 10:00:00,937.5869562604436,0.0,0.00032077752187531565,0.0009623325656259469,0.0019246651312518938,937.5869562604436,937.5866354829217,937.5859939278779,937.5850315953123
